site ID,crosval ID,sw,nee,gpp,lai,ave,amp,lst_day,lst_night,brdf1,brdf2,brdf3,brdf4,brdf5,brdf6,brdf7,lc,XGBoost GPP,SVR GPP,RF GPP
6,6,162.02,-0.12308,1.3216,2.598,0.321271033984701,0.870017058309521,290.8111,276.8689,0.038,0.2397,0.0181,0.0521,0.2553,0.1645,0.0646,1,5.2402678,4.47655021065813,5.33848860690852
6,6,149.77,0.13236,0.7258,1.5143,0.321271033984701,0.870017058309521,292.2133,276.1133,0.0428,0.221,0.021,0.0531,0.2497,0.164,0.0648,1,4.6704884,5.23880386737695,4.98618206095129
6,6,108.84,0.53825,0.24547,0.9878,0.321271033984701,0.870017058309521,281.7222,271.2333,0.055,0.2127,0.0242,0.0595,0.2463,0.1647,0.0681,1,2.5702376,2.17397100557425,2.48366234890865
6,6,83.801,0.68571,0.08163,0.5959,0.321271033984701,0.870017058309521,282.3711,272.9556,0.0681,0.1957,0.0276,0.0616,0.243,0.1639,0.0732,1,1.701123,1.83905334014202,1.80989658992974
6,6,70.411,0.46414,0.12881,0.5469,0.321271033984701,0.870017058309521,278.0556,269.0178,0.0895,0.1712,0.0357,0.0672,0.2226,0.1858,0.0869,1,1.0046183,0.763993439494371,1.05726968343641
6,6,108.96,0.35831,0.21304,0.5837,0.321271033984701,0.870017058309521,279.4244,266.8711,0.0638,0.1319,0.0226,0.0448,0.1931,0.1918,0.1048,1,1.2712123,0.780838679739355,1.34739888849268
6,6,186.55,0.29188,0.31475,0.5061,0.321271033984701,0.870017058309521,282.5333,273.4244,0.0731,0.1644,0.0283,0.0536,0.2353,0.2407,0.1435,1,1.945275,1.72555301043283,2.12066968102732
6,6,177.93,-0.33889,1.0654,0.9592,0.321271033984701,0.870017058309521,293.64,277.7511,0.0681,0.1753,0.0286,0.0572,0.2386,0.2337,0.1329,1,3.5101686,2.21441654219316,3.44558474770556
6,6,280.75,-0.44793,1.4582,1.4551,0.321271033984701,0.870017058309521,293.0667,275.7178,0.0604,0.1855,0.0272,0.0576,0.2365,0.2138,0.1155,1,4.461523,3.4427870254599,4.09011173972306
6,6,225.04,-1.0167,1.8132,1.9531,0.321271033984701,0.870017058309521,299.16,285.92,0.0528,0.2171,0.0273,0.06,0.2514,0.1966,0.0935,1,4.7742834,5.50999619261032,4.5793063002173
