site ID,crosval ID,sw,nee,gpp,lai,ave,amp,lst_day,lst_night,brdf1,brdf2,brdf3,brdf4,brdf5,brdf6,brdf7,lc,XGBoost GPP,SVR GPP,RF GPP
1,1,153.03,-0.96258,2.3605,1.2816,0.263842441137109,0.820166921969533,294.0667,282.7911,0.0487,0.2561,0.0183,0.0518,0.2975,0.2152,0.0948,0,3.376885,3.76010028182062,4.48863522573179
1,1,155.29,-0.66568,2.0145,1.2061,0.263842441137109,0.820166921969533,287.6733,277.0133,0.0517,0.2657,0.0191,0.0549,0.3096,0.2258,0.0976,0,2.9365904,3.49534091067243,3.99320619810444
1,1,89.645,0.17666,0.83755,1.0061,0.263842441137109,0.820166921969533,281.8511,273.5022,0.0559,0.261,0.0196,0.0561,0.3087,0.2175,0.0947,0,1.6124542,2.19138709800738,1.80940710145585
1,1,63.903,0.47347,0.51933,0.649,0.263842441137109,0.820166921969533,285.2822,273.24,0.0681,0.223,0.025,0.0528,0.2817,0.211,0.0973,0,1.1110352,1.35242454850951,1.13305486374642
1,1,322.43,-1.8362,4.3717,1.2122,0.263842441137109,0.820166921969533,293.4333,284.7311,0.0644,0.2195,0.0274,0.0578,0.2677,0.2081,0.107,0,4.44816,4.19050713384917,5.22908628799236
1,1,227.57,-1.9142,4.0824,1.3918,0.263842441137109,0.820166921969533,296.8533,285.8444,0.0598,0.2395,0.026,0.058,0.2865,0.2173,0.1045,0,5.0143538,4.47266261168983,5.60288214340778
1,1,234.29,-2.0924,4.7555,1.3551,0.263842441137109,0.820166921969533,292.38,281.0022,0.0572,0.2577,0.0223,0.0575,0.3052,0.2258,0.1029,0,4.3453507,4.55100797881165,5.31956895625819
1,1,145.58,-1.5465,4.4361,0.302,0.263842441137109,0.820166921969533,260.339104836895,280.1689,0.0573,0.2625,0.0216,0.0576,0.3091,0.2199,0.1012,0,3.357123,1.82164463065293,2.21956169738527
1,1,140.48,-1.3348,3.7155,1.0612,0.263842441137109,0.820166921969533,292.5422,282.8311,0.0533,0.2738,0.0188,0.0537,0.3132,0.221,0.1014,0,3.643504,3.45973106932985,4.03938984575622
1,1,109.32,-1.1725,2.9889,0.2612,0.263842441137109,0.820166921969533,260.339104836895,272.6644,0.0525,0.2612,0.0193,0.0541,0.2985,0.2191,0.0968,0,2.4685621,1.62692647519852,2.07492054419693
1,1,121.63,-0.22917,2.066,0.949,0.263842441137109,0.820166921969533,291.9778,274.3533,0.0554,0.2339,0.0181,0.0518,0.2713,0.194,0.0853,0,2.5132604,2.85467318657473,3.16563827106412
1,1,192.12,-0.99445,2.3671,0.798,0.263842441137109,0.820166921969533,285.2022,280.84,0.0701,0.1968,0.0271,0.0581,0.2466,0.1951,0.1067,0,2.2041028,2.48741630239262,1.87929815781958
1,1,241.62,-1.3658,4.2483,0.9898,0.263842441137109,0.820166921969533,294.4578,288.8156,0.0611,0.2185,0.0245,0.0581,0.2622,0.2002,0.0996,0,3.9439335,3.96289126282553,3.46606342022045
1,1,159.68,-1.8609,3.2471,1.3327,0.263842441137109,0.820166921969533,293.8311,290.8378,0.0581,0.2277,0.0227,0.057,0.2687,0.2019,0.0973,0,3.8123393,3.52265738736404,5.06764235759388
1,1,136.6,-1.5939,2.9409,0.5796,0.263842441137109,0.820166921969533,286.9314,271.5733,0.0536,0.2381,0.0206,0.0537,0.2763,0.2035,0.0933,0,2.7776585,2.6526547793636,2.32043699324448
1,1,124.34,-1.0705,2.7066,0.8224,0.263842441137109,0.820166921969533,280.42,281.0356,0.051,0.2449,0.0269,0.0557,0.2682,0.1935,0.0878,0,2.1805463,2.66039156872086,2.11937809872297
