site ID,crosval ID,sw,nee,gpp,lai,ave,amp,lst_day,lst_night,brdf1,brdf2,brdf3,brdf4,brdf5,brdf6,brdf7,lc,XGBoost GPP,SVR GPP,RF GPP
1,1,121.63,-0.22917,2.066,0.949,0.263842441137109,0.820166921969533,291.9778,274.3533,0.0554,0.2339,0.0181,0.0518,0.2713,0.194,0.0853,0,3.477097,2.55309183711682,3.42660858302563
1,1,192.12,-0.99445,2.3671,0.798,0.263842441137109,0.820166921969533,285.2022,280.84,0.0701,0.1968,0.0271,0.0581,0.2466,0.1951,0.1067,0,2.185309,2.25759632538848,2.59625720348642
1,1,241.62,-1.3658,4.2483,0.9898,0.263842441137109,0.820166921969533,294.4578,288.8156,0.0611,0.2185,0.0245,0.0581,0.2622,0.2002,0.0996,0,3.9636426,3.89640694377614,3.97554331159043
1,1,159.68,-1.8609,3.2471,1.3327,0.263842441137109,0.820166921969533,293.8311,290.8378,0.0581,0.2277,0.0227,0.057,0.2687,0.2019,0.0973,0,4.373103,3.64646171613772,4.65527609990554
1,1,136.6,-1.5939,2.9409,0.5796,0.263842441137109,0.820166921969533,286.9314,271.5733,0.0536,0.2381,0.0206,0.0537,0.2763,0.2035,0.0933,0,3.3452663,2.43435584884996,4.0336144051235
1,1,124.34,-1.0705,2.7066,0.8224,0.263842441137109,0.820166921969533,280.42,281.0356,0.051,0.2449,0.0269,0.0557,0.2682,0.1935,0.0878,0,2.281344,2.40807619803706,2.2598359939068
1,1,99.001,-1.2325,2.532,0.4245,0.263842441137109,0.820166921969533,260.339104836895,271.6925,0.0493,0.2451,0.0309,0.0489,0.2774,0.1894,0.0875,0,1.3993058,2.03722143874256,1.25440212307872
1,1,109.49,-0.7904,1.9651,1.0939,0.263842441137109,0.820166921969533,288.7422,276.7556,0.0495,0.2481,0.0189,0.0508,0.2839,0.1944,0.0858,0,3.0112882,2.46173720499547,3.1958492854249
1,1,68.398,-0.45598,1.4901,0.0939,0.263842441137109,0.820166921969533,260.339104836895,275.8178,0.0498,0.2479,0.019,0.0512,0.2832,0.194,0.0853,0,1.2180331,2.05171383038511,1.13984212870647
1,1,243.21,-1.8695,5.0136,1.0082,0.263842441137109,0.820166921969533,288.6289,285.1578,0.0444,0.1717,0.0194,0.0441,0.1953,0.1486,0.0711,0,3.7735393,3.74084437062879,3.97144231752698
1,1,133.96,-0.71404,3.0771,1.149,0.263842441137109,0.820166921969533,292.9422,282.8889,0.0456,0.1906,0.0191,0.0469,0.2155,0.1659,0.0782,0,3.6737702,2.87195499684926,4.14935648542228
1,1,201.33,-1.5128,4.2406,1.0571,0.263842441137109,0.820166921969533,296.7156,286.1244,0.0429,0.217,0.02,0.0484,0.2355,0.1651,0.0777,0,4.940007,4.67457999717292,4.75186141350383
1,1,173.82,-1.5107,3.3109,1.4408,0.263842441137109,0.820166921969533,297.3422,287.2889,0.0392,0.2216,0.0185,0.047,0.2415,0.1635,0.0763,0,5.7985573,4.67798794507581,5.90712939102052
1,1,113.66,-0.75659,2.6126,1.2429,0.263842441137109,0.820166921969533,287.4267,279.9178,0.0398,0.2323,0.0181,0.0481,0.2442,0.1646,0.0764,0,3.2571206,2.99470733836503,3.64260828429612
1,1,127.62,-0.40461,2.5245,1.2163,0.263842441137109,0.820166921969533,293.1178,280.5067,0.0432,0.2429,0.02,0.0524,0.2502,0.1664,0.0745,0,4.719563,3.65657327874078,4.75510198253665
1,1,98.327,0.02927,1.8852,0.351,0.263842441137109,0.820166921969533,285.8244,278.06,0.0427,0.2494,0.0165,0.0511,0.26,0.1705,0.0744,0,2.7084084,2.95020584818046,2.8278824635034
1,1,97.888,0.74587,1.0932,0.8143,0.263842441137109,0.820166921969533,285.7089,277.4533,0.0519,0.2214,0.0206,0.0517,0.2419,0.1733,0.0783,0,2.2200418,1.97811854214893,2.61279034885094
1,1,79.86,0.52353,0.62287,0.5449,0.263842441137109,0.820166921969533,282.3289,273.6333,0.0517,0.1819,0.0193,0.0448,0.2122,0.1591,0.0768,0,1.213879,1.14190723152641,1.47603285348463
1,1,48.064,0.50907,0.4371,0.298,0.263842441137109,0.820166921969533,277.2067,271.8356,0.0535,0.1723,0.0188,0.0429,0.208,0.1608,0.0784,0,0.81197417,0.645851235794159,0.784594524875965
1,1,244.13,-0.019139,0.29458,0,0.263842441137109,0.820166921969533,269.5333,263.2311,0.8495,0.796,0.8597,0.8693,0.3945,0.1001,0.0454,0,0.7035142,0.531297091488287,0.55185875668063
1,1,232.09,-0.082521,0.34832,0,0.263842441137109,0.820166921969533,271.8689,265.0311,0.8383,0.7823,0.8505,0.8561,0.3579,0.0848,0.0352,0,0.70929646,0.539284453957046,0.556179009269728
1,1,221.49,-0.11035,0.66043,0.0061,0.263842441137109,0.820166921969533,260.339104836895,264.8556,0.8129,0.7232,0.8189,0.8245,0.2895,0.0611,0.0291,0,0.770238,0.688989247813243,0.59878365844531
1,1,233.45,-0.13174,1.2079,0.0429,0.263842441137109,0.820166921969533,275.7422,273.1222,0.6369,0.5501,0.6548,0.656,0.1801,0.0639,0.0367,0,0.7301208,0.606307266037791,0.613422541731686
1,1,215.14,0.04167,1.0027,0,0.263842441137109,0.820166921969533,271.9689,264.5022,0.5557,0.5216,0.5826,0.5698,0.2049,0.0997,0.0459,0,0.75119376,0.492054899231551,0.561358449322664
1,1,204.74,0.24146,0.92116,0.4571,0.263842441137109,0.820166921969533,279.1889,274.2889,0.5375,0.5115,0.542,0.55,0.2377,0.0733,0.0346,0,1.0044005,0.669202781873577,1.18148062474962
1,1,241.69,0.27754,0.83663,0.4653,0.263842441137109,0.820166921969533,284.0489,278.9511,0.0592,0.1369,0.0243,0.0451,0.1596,0.1256,0.0674,0,1.6218364,1.17568649976996,1.60713807335136
1,1,249.29,-0.37177,1.6569,0.4592,0.263842441137109,0.820166921969533,283.6867,279.5,0.0542,0.1303,0.0226,0.0427,0.1527,0.1168,0.0608,0,1.703468,1.14857999048833,1.85130708884288
1,1,183.29,-0.95391,3.0103,0.7857,0.263842441137109,0.820166921969533,286.1244,281.3711,0.0493,0.1309,0.0201,0.0408,0.1534,0.1156,0.0582,0,2.5594382,2.39236386913568,3.0193885927112
1,1,278.59,-1.4548,4.011,0.8327,0.263842441137109,0.820166921969533,291.22,286.9089,0.0398,0.15,0.0165,0.0384,0.169,0.1225,0.0553,0,4.359548,3.52734149965374,4.22516271185843
1,1,182.23,-1.6185,3.7235,1.1571,0.263842441137109,0.820166921969533,289.2111,282.5844,0.038,0.1705,0.0155,0.0389,0.1874,0.1308,0.0574,0,4.3509007,4.13741273790021,4.45732263954144
1,1,160.75,-2.1396,4.4051,1.2816,0.263842441137109,0.820166921969533,287.1222,280.1156,0.0401,0.2078,0.0174,0.0438,0.2248,0.149,0.0662,0,4.2596784,4.10154791831173,4.60251355305109
1,1,227.9,-2.1258,4.7684,1.2571,0.263842441137109,0.820166921969533,292.8533,285.7733,0.0409,0.2279,0.0158,0.0467,0.2443,0.1597,0.0719,0,5.8056817,5.48521017106875,5.83637571263073
1,1,223.08,-1.7732,4.5083,1.4531,0.263842441137109,0.820166921969533,294.5978,284.6556,0.0396,0.2412,0.0142,0.047,0.2584,0.1695,0.0748,0,6.0971193,5.7144880360053,6.14752141010711
1,1,126.72,-0.7577,2.5921,1.3694,0.263842441137109,0.820166921969533,292.5511,279.3667,0.0396,0.2525,0.0156,0.0484,0.2707,0.1796,0.0772,0,4.3017464,3.4663368149141,4.34552030320292
1,1,95.474,-0.17777,1.4552,0.7041,0.263842441137109,0.820166921969533,279.1667,270.3844,0.0435,0.2587,0.0199,0.0527,0.2783,0.1854,0.0777,0,1.7651641,2.44119953250954,1.85748373215815
1,1,67.899,0.52747,0.67636,0.5939,0.263842441137109,0.820166921969533,274.72,269.9111,0.0653,0.246,0.0331,0.0635,0.2662,0.143722181146026,0.0806,0,0.7999923,1.69745546773241,0.833488008773004
